0 , 518000 , 429000 , 431000 , 22.5208 , -77.5614 , -3.2865
1 , 1538700 , 453600 , 346300 , 17.0025 , -2.23188 , -2.18112
2 , 2405500 , 417200 , 379600 , 12.9392 , -1.88215 , -1.02028
3 , 3322700 , 427200 , 350700 , 11.204 , -0.714931 , -0.0375885
4 , 4176800 , 413500 , 362900 , 9.98293 , -1.18347 , -0.18036
5 , 5245300 , 446900 , 445300 , 9.66588 , -0.136682 , -0.00864778
6 , 6253800 , 436000 , 413600 , 9.073 , -0.584232 , -0.141979
7 , 7202200 , 408600 , 401500 , 8.75309 , -0.177939 , -0.186456
8 , 8095000 , 401600 , 283400 , 8.29 , -0.276633 , -0.107675
9 , 8900300 , 399600 , 316700 , 8.13728 , -0.0450448 , -0.316901
10 , 9680000 , 392200 , 315600 , 7.41441 , -0.40597 , -0.0327505
11 , 10539200 , 436900 , 431200 , 7.20587 , -0.175784 , -0.0878097
12 , 11600900 , 434600 , 435800 , 7.05569 , -0.0623704 , -0.109456
13 , 12544800 , 414000 , 435900 , 6.80412 , -0.142112 , -0.066273
14 , 13517200 , 409500 , 379100 , 6.67209 , -0.0657642 , -0.0735933
15 , 14417600 , 413300 , 368200 , 6.55689 , -0.0416005 , -0.00994759
16 , 15318500 , 423700 , 380700 , 6.40706 , -0.139887 , -0.079085
17 , 16252100 , 426500 , 385800 , 6.20248 , -0.125497 , -0.0702266
18 , 17251100 , 522300 , 382600 , 5.93883 , -0.193419 , -0.0774908
19 , 18207100 , 441900 , 385900 , 5.78177 , -0.0795657 , -0.0515363
20 , 19095400 , 424200 , 399600 , 5.38213 , -0.348108 , -0.0820164
21 , 20026300 , 411000 , 371100 , 5.17721 , -0.122904 , -0.184857
22 , 20872100 , 401200 , 377600 , 4.80202 , -0.190329 , -0.0594702
23 , 21789000 , 411500 , 360900 , 4.69612 , -0.0464373 , -0.185636
24 , 22632300 , 396200 , 448300 , 4.35078 , -0.159704 , -0.0428799
25 , 23698000 , 443700 , 387000 , 4.26683 , -0.0410696 , -0.0463803
26 , 24626500 , 414900 , 431000 , 4.1908 , -0.0296441 , -0.0450799
27 , 25586800 , 412800 , 375200 , 4.11695 , -0.0287723 , -0.0456747
28 , 26486000 , 414800 , 376500 , 4.04532 , -0.0259552 , -0.0442278
29 , 27379300 , 407700 , 376700 , 3.97593 , -0.0251619 , -0.00797951
30 , 28276900 , 428000 , 370800 , 3.88026 , -0.087689 , -0.0419546
31 , 29198600 , 421100 , 449500 , 3.80686 , -0.0314482 , -0.132718
32 , 30150000 , 425700 , 381300 , 3.57292 , -0.101222 , -0.031994
33 , 31123800 , 476300 , 438200 , 3.51534 , -0.0255791 , -0.0346354
34 , 32160000 , 437900 , 444400 , 3.46037 , -0.0203401 , -0.028793
35 , 33157200 , 449200 , 421900 , 3.37379 , -0.0577861 , -0.0297446
36 , 34119300 , 412500 , 370000 , 3.32886 , -0.015187 , -0.079863
37 , 34969300 , 408000 , 413900 , 3.14868 , -0.100314 , -0.015203
38 , 35993800 , 436500 , 455300 , 3.09761 , -0.0358709 , -0.024744
39 , 37017800 , 416000 , 377300 , 3.05139 , -0.0214698 , -0.0252923
40 , 37949600 , 465300 , 368500 , 2.97775 , -0.0483567 , -0.00659138
41 , 38828800 , 404500 , 366900 , 2.92905 , -0.0421052 , -0.0236503
42 , 39701700 , 400100 , 360000 , 2.88546 , -0.0199409 , -0.0238243
43 , 40566100 , 407900 , 359400 , 2.8169 , -0.0447286 , -0.0118867
44 , 41457100 , 423600 , 424500 , 2.77183 , -0.0331857 , -0.0236111
45 , 42396400 , 406300 , 371300 , 2.73285 , -0.0153755 , -0.0357355
46 , 43265900 , 409800 , 353000 , 2.6652 , -0.0319105 , -0.0189267
47 , 44132800 , 397900 , 366200 , 2.6269 , -0.019374 , -0.0275672
48 , 45022400 , 436400 , 345900 , 2.56411 , -0.0352222 , -0.015182
49 , 45887600 , 412100 , 323500 , 2.52661 , -0.0223186 , -0.0231564
50 , 46707200 , 407800 , 316300 , 2.46749 , -0.0359612 , -0.0135952
51 , 47599100 , 439600 , 403400 , 2.43145 , -0.0224435 , -0.0229614
52 , 48526200 , 433300 , 334600 , 2.37491 , -0.033585 , -0.0140958
53 , 49374500 , 404800 , 325100 , 2.34112 , -0.0196858 , -0.0255829
54 , 50206800 , 417400 , 317100 , 2.2865 , -0.0290446 , -0.0157435
55 , 51030800 , 401100 , 319700 , 2.25544 , -0.0153119 , -0.0288496
56 , 51844000 , 405100 , 316100 , 2.20259 , -0.0240048 , -0.00236593
57 , 52650800 , 399200 , 315600 , 2.15677 , -0.0434535 , -0.00736083
58 , 53480800 , 408400 , 432600 , 2.12326 , -0.0261495 , -0.0152755
59 , 54410300 , 403300 , 324900 , 2.07681 , -0.031173 , -0.0134739
60 , 55252500 , 406300 , 327800 , 2.04838 , -0.0149578 , -0.0236479
61 , 56181600 , 418400 , 331200 , 2.00257 , -0.0221574 , -0.010539
62 , 57007800 , 405100 , 327100 , 1.95987 , -0.0321578 , -0.00874586
63 , 57847200 , 405100 , 342100 , 1.93322 , -0.0179073 , -0.0230179
64 , 58681100 , 400200 , 342800 , 1.89055 , -0.0196565 , -0.00578679
65 , 59516400 , 398800 , 415600 , 1.85217 , -0.0325862 , -0.00961038
66 , 60455400 , 411900 , 327700 , 1.82694 , -0.0156252 , -0.0197134
67 , 61284300 , 410300 , 308600 , 1.78814 , -0.0190826 , -0.0124069
68 , 62101400 , 413100 , 323300 , 1.75114 , -0.024593 , -0.00921589
